,precision,recall,f1-score,support
0,0.9943473792394656,0.9979370809695719,0.9961389961389961,1939.0
1,0.9259259259259259,0.819672131147541,0.8695652173913043,61.0
accuracy,0.9925,0.9925,0.9925,0.9925
macro avg,0.9601366525826958,0.9088046060585564,0.9328521067651503,2000.0
weighted avg,0.9922605249134026,0.9925,0.9922784958871915,2000.0
